genre,question_id,n_seams,severity_sum,severity_mean,severity_max
caselaw,77,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,79,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,81,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,85,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,83,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,89,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,87,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,91,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,93,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,95,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,99,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,101,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,103,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,97,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,105,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,107,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,109,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,111,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,115,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,113,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,117,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,125,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,121,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,123,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,119,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,133,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,131,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,127,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,129,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,135,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,137,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,143,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,139,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,141,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,145,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,149,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,147,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,151,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,153,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,155,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,157,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,161,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,159,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,163,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,165,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,167,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,173,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,171,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,169,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,175,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,177,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,179,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,187,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,183,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,185,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,181,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,191,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,193,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,189,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,195,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,197,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,203,79,48.414536395835434,0.6128422328586763,0.896673894980104
caselaw,201,79,48.414536395835434,0.6128422328586763,0.896673894980104
